Id,Beds,Baths,ListingType,Area,Population,Schools,Colleges,Universities,Amenties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAvg
M73000004-25861584,20,20,Multi-Family,6500,132485,0,0,0,0,0,Kingston,3050000,713186,A
M73000004-25861659,3,3,Single Family,1542,13131,0,0,0,0,0,West Grey,1200000,1173032,A
M73000004-25861699,7,3,Multi-Family,2656,17817,1,1,0,6,14,Midland,599900,787800,B
M73000004-25861808,2,2,Condo,1120,32721,3,0,0,0,1,LaSalle,652500,752855,B
M73000004-25861852,3,3,Single Family,2550,47845,6,0,0,31,28,Cornwall,599900,457499,A
M73000004-25861899,3,2,Condo,1266,24811,7,1,0,37,29,Collingwood,778555,616427,A
M73000004-25861990,4,4,Rental,1803,24811,0,0,0,0,0,Collingwood,2900,616427,B
M73000004-25861992,3,2,Single Family,2330,12966,0,0,0,0,0,Tiny,2495000,1087870,A
M73000004-25861993,3,2,Single Family,980,2744,1,0,0,2,0,McDougall,449000,845129,B
M73000004-25862040,4,3,Single Family,1850,11059,24,1,1,64,48,Hamilton,989900,543702,A
M73000004-25862565,6,5,Single Family,3466,94415,0,0,0,0,0,Niagara Falls,2699900,593623,A
M73000004-25863148,5,4,Single Family,2500,9421,0,0,0,0,0,Mono,2595000,2207494,A
M73000004-25863489,5,2,Single Family,1800,132485,1,0,0,83,31,Kingston,619000,713186,B
M73000004-25863714,4,2,Single Family,1300,136803,4,0,1,88,19,St. Catharines,495000,648367,B
M73000004-25863803,3,1,Single Family,1000,2744,0,0,0,0,0,McDougall,399000,845129,B
M73000004-25864035,3,2,Single Family,1476,23816,8,0,0,17,53,Thorold,864900,583404,A
M73000004-25864089,4,3,Single Family,1534,11059,1,0,0,14,7,Hamilton,629900,543702,A
M73000004-25864264,1,1,Single Family,709,46705,0,0,0,0,0,Woodstock,199000,659229,B
M73000004-25864282,5,5,Single Family,1839,422324,27,0,1,68,67,London,949900,691690,A
M73000004-25865260,3,2,Single Family,2000,422324,0,0,0,0,0,London,870000,691690,A
M73000004-25865830,3,2,Single Family,1400,33411,10,1,0,23,28,Orillia,759000,674312,A
M73000004-25865893,5,4,Single Family,2697,136803,8,0,1,108,38,St. Catharines,1925000,648367,A
M73000004-25865984,4,2,Single Family,2400,6887,0,0,0,0,0,Wainfleet,2399000,1175583,A
M73000004-25866058,3,2,Condo,1231,11059,9,0,0,40,28,Hamilton,549000,543702,A
M73000004-25866130,5,4,Single Family,3775,11151,1,0,0,4,0,Norwich,1098000,982694,A
M73000004-25866233,2,3,Condo,1219,24811,2,0,0,25,30,Collingwood,10381,616427,B
M73000004-25866545,4,3,Single Family,1600,422324,37,0,1,320,90,London,895999,691690,A
M73000004-25866572,3,2,Single Family,1185,13693,0,0,0,0,0,Ingersoll,949900,648495,A
M73000004-25866574,4,4,Single Family,2595,213759,1,0,0,100,11,Oakville,3795000,953919,A
M73000004-25866613,2,2,Condo,1219,24811,5,0,0,53,16,Collingwood,529000,616427,B
M73000004-25866614,2,2,Single Family,950,24862,1,0,0,0,12,Wasaga Beach,439900,619205,B
M73000004-25866625,5,4,Single Family,2205,136803,27,0,1,175,51,St. Catharines,1099900,648367,A
